875.6	500.000
865.79	500.451
867.03	500.901
885.82	501.352
892.3	501.803
884.22	502.253
852.81	502.704
853.24	503.155
875.4	503.606
904.13	504.056
866.36	504.507
859.69	504.958
882.11	505.408
887.11	505.859
858.9	506.310
873.8	506.760
893.07	507.211
897.23	507.662
906.48	508.112
907.43	508.563
920.63	509.014
920.32	509.465
923.27	509.915
926.7	510.366
944.51	510.817
942.29	511.267
950.97	511.718
964.53	512.169
999.43	512.619
1029.5	513.070
1047.1	513.521
1073.9	513.972
1131.6	514.422
1153.8	514.873
1193.9	515.324
1259.3	515.774
1366.5	516.225
1513.6	516.676
1737.6	517.126
1984.3	517.577
2281.4	518.028
2682.5	518.478
3014.8	518.929
3266.2	519.380
3435.4	519.831
3655.5	520.281
3857	520.732
3855.2	521.183
3938.9	521.633
4097.3	522.084
4143.9	522.535
4033.7	522.985
3922.9	523.436
3821.8	523.887
3609.9	524.337
3302.1	524.788
2977.8	525.239
2622.8	525.690
2287.4	526.140
1950.6	526.591
1696.1	527.042
1533.3	527.492
1401.3	527.943
1271.6	528.394
1208.3	528.844
1158.9	529.295
1101.8	529.746
1092.2	530.196
1065.6	530.647
1045.1	531.098
999.51	531.549
943.84	531.999
919.59	532.450
921.32	532.901
927.68	533.351
941.82	533.802
936.13	534.253
930.29	534.703
941.01	535.154
936.36	535.605
932.53	536.056
935.61	536.506
905.03	536.957
908.49	537.408
895.01	537.858
883.11	538.309
895.08	538.760
915.58	539.210
909.79	539.661
881.01	540.112
897.02	540.562
898.77	541.013
888.52	541.464
868.52	541.915
874.07	542.365
865.89	542.816
852.45	543.267
833.32	543.717
864.46	544.168
882.11	544.619
851.38	545.069
840.08	545.520
863.82	545.971
863.47	546.421
870.89	546.872
861.81	547.323
870.37	547.774
871.46	548.224
830.46	548.675
848.75	549.126
871.46	549.576
852.48	550.027
